epoch,train_loss,test_loss,acc
1,1.827646,,
2,1.5972724,,
3,1.6939774,,
4,1.4992078,,
5,1.5866464,,
6,1.5440542,,
7,1.3430276,,
8,1.6665044,,
9,1.28452,,
10,1.2003076,,
11,1.377904,,
12,1.23714,,
13,0.982545,,
14,0.9317902,,
15,0.7491442,,
16,0.5485026,,
17,0.5854184,,
18,0.713423,,
19,0.4285418,,
20,0.2827338,0.8582,0.7403
21,0.5326194,,
22,0.7539292,,
23,0.5781706,,
24,0.4760276,,
25,0.551043,,
26,0.2922154,,
27,0.516518,,
28,0.3692672,,
29,0.2994818,,
30,0.3925854,0.6895,0.8022
31,0.494446,,
32,0.176765,,
33,0.1682754,,
34,0.1992278,,
35,0.4548448,,
36,0.4444932,,
37,0.3517358,,
38,0.4059132,,
39,0.4029476,,
40,0.2819098,0.8495,0.7913
41,0.3193586,,
42,0.0907762,,
43,0.2083718,,
44,0.3134296,,
45,0.2485332,,
46,0.2712036,,
47,0.256453,,
48,0.1638728,,
49,0.2048796,,
50,0.2717468,0.7666,0.823
51,0.2890344,,
52,0.278953,,
53,0.0901802,,
54,0.1216602,,
55,0.2035076,,
56,0.2909048,,
57,0.1099812,,
58,0.3317026,,
59,0.1538,,
60,0.1003564,0.5723,0.8649
61,0.1545206,,
62,0.1365388,,
63,0.092058,,
64,0.1211532,,
65,0.2444718,,
66,0.1634754,,
67,0.1366706,,
68,0.2400086,,
69,0.1534328,,
70,0.087635,0.4226,0.894
71,0.1379028,,
72,0.1290436,,
73,0.0761844,,
74,0.2461834,,
75,0.2220956,,
76,0.0811818,,
77,0.0746416,,
78,0.166598,,
79,0.0611656,,
80,0.2313004,0.4448,0.8946
81,0.055107,,
82,0.0804744,,
83,0.1636642,,
84,0.222391,,
85,0.0734326,,
86,0.0487326,,
87,0.0551846,,
88,0.1378896,,
89,0.0287338,,
90,0.1035944,1.1178,0.8298
91,0.087806,,
92,0.08772,,
93,0.1534536,,
94,0.0870512,,
95,0.031104,,
96,0.2064334,,
97,0.1315018,,
98,0.0530768,,
99,0.1738754,,
100,0.1215036,1.6941,0.7275
101,0.0324562,,
102,0.059227,,
103,0.0489254,,
104,0.0572234,,
105,0.037785,,
106,0.1223944,,
107,0.2249438,,
108,0.0268468,,
109,0.0351484,,
110,0.0800574,0.4734,0.9016
111,0.107289,,
112,0.091317,,
113,0.024209,,
114,0.0912604,,
115,0.0374418,,
116,0.0538726,,
117,0.0644804,,
118,0.0427668,,
119,0.0608044,,
120,0.0046378,0.5055,0.8999
121,0.127764,,
122,0.012846,,
123,0.0525526,,
124,0.033064,,
125,0.1169494,,
126,0.1769566,,
127,0.0792406,,
128,0.1063788,,
129,0.1228084,,
130,0.0556442,0.4969,0.9009
131,0.0731972,,
132,0.0858574,,
133,0.1137216,,
134,0.1044504,,
135,0.1124954,,
136,0.047297,,
137,0.012485,,
138,0.0497002,,
139,0.1685314,,
140,0.0243092,0.4875,0.9058
141,0.1684334,,
142,0.030091,,
143,0.1850064,,
144,0.2063844,,
145,0.1561776,,
146,0.0923202,,
147,0.0078462,,
148,0.003208,,
149,0.12633,,
150,0.184114,0.9727,0.8442
151,0.032135,,
152,0.1302186,,
153,0.029515,,
154,0.0190604,,
155,0.0320884,,
156,0.0125214,,
157,0.0635636,,
158,0.1051108,,
159,0.129412,,
160,0.0829746,3.7868,0.6378
161,0.066855,,
162,0.0701612,,
163,0.0223714,,
164,0.0173418,,
165,0.0286538,,
166,0.0512414,,
167,0.091797,,
168,0.1396646,,
169,0.0074418,,
170,0.0628624,0.493,0.9065
171,0.0298838,,
172,0.1286114,,
173,0.0185516,,
174,0.0122396,,
175,0.3564438,,
176,0.023465,,
177,0.0401258,,
178,0.0088082,,
179,0.0415076,,
180,0.0034488,0.4494,0.9179
181,0.0542926,,
182,0.0763056,,
183,0.0386506,,
184,0.0117084,0.5333,0.907
185,0.0323128,,
186,0.055815,0.4659,0.9124
187,0.0325426,,
188,0.0227042,0.4646,0.9151
189,0.0614884,,
190,0.0183332,0.4994,0.9104
191,0.1435974,,
192,0.0582844,0.4646,0.9143
193,0.001503,,
194,0.0017448,0.48,0.9135
195,0.086239,,
196,0.1355342,0.5112,0.9084
197,0.0081402,,
198,0.0442288,,
199,0.0724402,0.4868,0.9135
200,0.0076168,,
201,0.0118784,0.4506,0.9175
202,0.0103636,,
203,0.0428806,0.4481,0.92
204,0.0307262,,
205,0.0102952,0.4395,0.92
206,0.034464,,
207,0.0021636,0.4403,0.9191
208,0.0221452,,
209,0.0054092,0.4374,0.9207
210,0.004678,,
211,0.0052362,0.4416,0.9199
212,0.008109,,
213,0.0168414,0.4422,0.9203
214,0.0239698,,
215,0.0096252,0.4397,0.9206
216,0.0329826,,
217,0.0343274,0.4414,0.9195
218,0.0132922,,
219,0.0137564,0.4407,0.9214
220,0.0040244,,
