epoch,train_loss,test_loss,acc
221,0.0037512,0.4385,0.9205
222,0.1284156,,
223,0.1408994,0.8783,0.86
224,0.021578,,
225,0.0863834,0.4692,0.9142
226,0.0129064,,
227,0.0036838,0.4554,0.9172
228,0.0193548,,
229,0.1850738,0.5502,0.9061
230,0.0339752,,
231,0.0042774,0.451,0.917
232,0.009561,,
233,0.1599344,0.4585,0.9177
234,0.0124736,,
235,0.0378048,0.45,0.9182
236,0.0106338,,
237,0.0025198,0.441,0.9192
238,0.035436,,
239,0.001711,0.4454,0.9198
240,0.0565088,,
241,0.0054764,0.4466,0.9176
242,0.0162226,,
243,0.0124996,0.4445,0.9172
244,0.0076474,,
245,0.0250514,0.4393,0.9182
246,0.0710566,,
247,0.040869,0.4563,0.9192
248,0.0311462,,
249,0.0032462,0.4589,0.9182
250,0.0037588,,
251,0.0009932,0.4522,0.9196
252,0.04802,,
253,0.02901,0.5735,0.8975
254,0.0380648,,
255,0.0225386,0.5008,0.9136
256,0.0741792,,
257,0.0454786,0.4794,0.9118
258,0.0659778,,
259,0.0079346,0.5037,0.9104
260,0.0077086,,
261,0.040882,0.4533,0.9188
262,0.006774,,
263,0.0441866,0.4648,0.918
264,0.051843,,
265,0.0769212,0.4812,0.9163
266,0.1128026,,
267,0.0665544,0.5129,0.9128
268,0.0414954,,
269,0.0146722,0.4769,0.9162
270,0.0591946,,
271,0.080198,0.713,0.8835
272,0.0729948,,
273,0.0742516,0.6766,0.8916
274,0.0004262,,
275,0.0335102,0.4655,0.9155
276,0.0041856,,
277,0.0027456,,
