epoch,loss1,loss2,loss3,loss4,loss5,test_loss6,acc6,train_loss6
74,1.951128,1.538972,1.102751,1.049786,1.383664,1.2865,0.5400,1.4052602
75,1.609545,1.827851,1.247896,1.392771,1.339205,1.2872,0.5470,1.4834536
76,1.226193,1.463221,1.236785,1.026332,1.443797,1.2333,0.5752,1.2792656
77,1.498544,1.336092,1.300114,1.882026,1.556053,1.2319,0.5649,1.5145658
78,1.038637,1.522455,1.535385,1.383282,1.371681,1.2513,0.5640,1.370288
79,1.745043,1.493698,1.501141,1.528546,0.914430,1.2454,0.5656,1.4365716
80,1.095237,1.168169,1.457905,1.260137,1.276451,1.2232,0.5790,1.2515798
81,1.028366,1.253461,1.239315,1.709958,1.053566,1.2601,0.5533,1.2569332
82,0.947594,1.325101,1.403501,1.075722,1.462701,1.2433,0.5712,1.2429238
83,1.338084,1.588367,1.579639,2.101308,1.613493,1.2338,0.5600,1.6441782
84,1.445637,1.056151,1.233639,1.859902,1.660084,1.2194,0.5775,1.4510826
85,1.205180,1.620108,1.131669,1.993628,1.365434,1.2247,0.5762,1.4632038
86,1.302380,1.068028,1.325117,1.334479,1.139694,1.2129,0.5809,1.2339396
87,1.651187,1.600475,0.982719,1.305088,1.290783,1.2121,0.5783,1.3660504
88,1.241877,1.218454,1.537784,1.316002,1.568578,1.2278,0.5717,1.376539
89,1.712475,1.492510,1.288836,1.150321,1.333660,1.2139,0.5802,1.3955604
90,1.410997,1.210169,1.108405,1.333323,1.492262,1.2191,0.5746,1.3110312
91,1.599736,1.340462,1.556575,1.145958,1.573157,1.2108,0.5825,1.4431776
92,1.185309,1.660810,1.125926,1.618401,1.536849,1.2094,0.5849,1.425459
93,1.277175,1.370316,1.421536,1.828748,1.876418,1.2396,0.5691,1.5548386
94,1.738338,1.501766,1.177850,1.261936,1.351462,1.2138,0.5851,1.4062704
95,1.069798,1.611915,1.239132,1.123175,1.701504,1.2343,0.5759,1.3491048
