1,1.8515176,1.8245,0.3573
2,1.61083,1.5307,0.4447
3,1.5918062,1.583,0.4505
4,1.360388,1.3216,0.5296
5,1.447018,1.2717,0.5371
6,1.6521182,1.3343,0.5319
7,1.2243326,1.2348,0.5668
8,1.3764304,1.2523,0.5528
9,1.3330294,1.2885,0.5544
10,1.4151882,1.1705,0.5895
11,1.1943146,1.2931,0.5365
12,1.2335696,1.2107,0.5725
13,1.4818996,1.1513,0.5946
14,1.255818,1.1385,0.5993
15,1.2552462,1.1307,0.6084
16,1.0476198,1.2036,0.5741
17,1.181863,1.136,0.6074
18,1.362352,1.1769,0.585
19,1.2264898,1.1092,0.6148
20,1.2340488,1.1308,0.6061
21,1.060746,1.1025,0.6125
22,1.4410432,1.1762,0.5894
23,1.0907166,1.2138,0.5751
24,1.2572652,1.1139,0.6119
25,1.4007978,1.1822,0.5867
26,1.1064228,1.1309,0.6045
27,1.2668612,1.1021,0.612
28,1.2157454,1.095,0.6237
29,1.3436472,1.0645,0.6291
30,1.2633048,1.2057,0.5799
31,1.0582114,1.1585,0.5972
32,1.3069264,1.2271,0.5625
33,1.1775452,1.0662,0.6275
34,1.1649848,1.1203,0.6039
35,1.1311522,1.169,0.6011
36,1.1870034,1.1418,0.5909
37,1.101789,1.1788,0.5767
38,1.105885,1.0549,0.6336
39,1.38144,1.057,0.6265
40,1.399901,1.2019,0.5719
41,1.1841698,1.0712,0.6191
42,1.0516306,1.0694,0.6267
43,1.131264,1.0552,0.6322
44,1.1185546,1.0907,0.6143
45,1.2294088,1.0589,0.629
46,1.1045202,1.0721,0.6186
47,1.1526978,1.1694,0.5879
48,1.2542292,1.0402,0.6402
49,1.5261036,1.0382,0.6345
50,1.1616522,1.0689,0.6208
51,1.1959914,1.0514,0.6332
52,1.1775452,1.1099,0.6139
53,1.3109158,1.052,0.626
54,1.1278592,1.0997,0.6158
55,1.1531276,1.0698,0.6249
56,1.2044056,1.0685,0.624
57,1.0456438,1.0378,0.641
58,0.949616,1.0323,0.6417
59,1.1111056,1.0595,0.6277
60,1.0305926,1.0638,0.6241
61,1.1478894,1.0468,0.6263
62,1.1165138,1.0453,0.63
63,0.9891442,1.0779,0.6275
64,1.4176248,1.0595,0.6219
65,1.1276474,1.0877,0.6158
66,1.086696,1.0541,0.6286
67,1.1790078,1.0686,0.6216
68,1.3013596,1.0836,0.6109
69,1.1719368,1.0148,0.6465
70,1.2441082,1.0844,0.6198
71,0.9875254,1.0756,0.6201
72,1.1857622,1.1713,0.5916
