0 ,12702.384678097398,13488.183272153969,14006.104179220529,13971.466227279307,14237.819089660179
1 ,12019.72901529114,13075.789646977684,13778.563181821139,13784.25414650131,14226.972989228452
2 ,11606.509312843584,12600.47969252428,13564.147802452475,13717.037449863157,14220.870348501516
3 ,11329.71994062074,12157.549358061044,13306.81066977275,13637.720882819502,14208.555070216424
4 ,11147.837093734115,11821.71133142845,13009.056427592499,13532.777853929669,14185.364638980887
5 ,11013.05549026183,11529.715873801732,12645.1559766005,13410.400007131188,14135.895554729947
6 ,10903.242947709781,11284.363394790807,12286.786593976536,13283.276034876219,14088.749524256711
7 ,10853.58270322519,11116.960273992336,12043.515122639843,13145.131855576396,14041.044699784537
8 ,10806.719789552744,10977.055113345144,11840.91509465715,12993.322408256756,13998.557909089895
9 ,10758.254282544529,10910.75185059336,11632.154076039977,12798.329871647602,13958.928582599121
10 ,10754.090430330507,10859.58247149007,11442.404139235377,12530.606699447684,13921.98321769737
11 ,10739.564043913033,10838.56766525357,11254.688328121687,12280.433942714706,13890.822254419927
12 ,10741.85018030576,10805.421737417972,11113.778049782148,12084.17374355974,13854.763815213902
13 ,10723.452774193747,10752.136192868518,10998.694908556543,11933.92537136154,13825.660510592616
14 ,10708.084702883936,10778.160929744934,10902.506988466106,11817.11116488107,13790.738039621474
15 ,10692.24982282339,10760.460947564645,10874.824950253284,11714.628894025276,13742.068092432084
16 ,10706.423431917809,10684.447256987189,10861.830056030307,11622.498590483076,13653.229333721121
17 ,10723.675611109029,10664.740096746795,10798.8377164994,11555.575233389394,13523.150768276722
18 ,10714.210743755124,10699.623131068385,10763.245850753081,11486.208709111026,13428.298511406429
19 ,10711.972831905558,10717.788329377243,10709.501124833496,11401.739542134126,13334.077471210101
20 ,10722.549932858316,10655.844561617765,10688.522629146282,11334.314004974141,13244.106675202356
21 ,10718.318528464224,10617.371385636587,10676.692942337088,11267.109524121392,13203.44100027205
22 ,10693.312515600868,10672.321874894924,10651.931791403384,11191.286312469478,13127.088693939348
23 ,10676.543225908239,10630.02217631237,10616.349391275235,11155.75762355071,13067.404506767994
24 ,10710.048590921937,10630.027903089094,10615.925181569568,11155.37054688608,13016.292459382472
25 ,10728.05814402939,10581.040368401696,10577.949545915935,11075.49125179583,12978.938753723784
26 ,10719.93474349252,10569.528917665095,10548.00299580878,11079.511857936519,12902.426561496442
27 ,10725.84379828801,10545.040256111804,10568.193179666225,11026.758460609217,12620.801513482722
28 ,10770.584123302813,10577.128353585475,10533.986459963966,10991.545872455152,12484.108323127364
29 ,10803.823797618006,10612.61599198632,10553.322843341191,10881.485978396307,12398.642200219076
30 ,10760.197940221013,10563.21158182283,10560.770011175511,10797.548346981672,12274.79715139482
31 ,10774.122322306037,10457.739309096865,10465.030365317938,10773.764944006605,12213.995423551754
32 ,10794.121045663387,10465.10132756394,10440.267048511647,10776.410015566156,12049.270507757135
33 ,10768.945440016461,10497.211734737699,10509.488523610387,10732.67910178546,11646.912295615997
34 ,10806.525513866203,10534.499209567672,10461.820913225922,10724.187232442926,11625.511620346419
35 ,10793.23584736518,10483.348450934856,10367.335765501855,10576.45050753685,11548.288793891119
36 ,10845.998738005585,10486.874639643745,10386.236511609151,10593.703500475413,11536.132814523005
37 ,10832.445893496064,10506.51871121072,10392.83726130727,10519.833677962079,11507.392467119247
38 ,10862.693351930535,10428.152014195137,10311.941761368515,10536.673205522095,11454.635678514414
39 ,10875.665915211204,10483.621228777589,10383.145158275154,10445.184114277734,11455.831599469408
40 ,10903.373999696312,10468.309106949375,10314.093424096593,10457.039928315537,11442.953535252283
41 ,10842.39352093666,10439.319415649614,10292.502181730404,10413.20133834763,11357.603499187222
42 ,10920.19377996061,10444.578249882677,10365.570201860093,10335.824983929857,11379.12568344174
43 ,10865.682424445442,10448.195050020919,10280.177618026128,10431.64814291831,11330.444200913329
44 ,10974.84913241982,10470.234096151731,10268.867434597449,10447.381207602604,11323.963709556218
45 ,10911.160123066456,10413.825110150452,10234.197373923378,10401.461079290157,11265.315677392005
46 ,10922.63963257848,10481.396241501821,10278.594228533644,10356.213974159096,11253.327216522655
47 ,10961.777474976705,10462.900872406288,10248.146571966126,10479.71341788232,11194.772017530808
48 ,10930.232093674162,10458.418240099023,10260.562953024451,10451.784235148527,11209.116114760098
49 ,10927.365897162817,10457.07455286096,10303.340743872579,10480.19049445881,11181.209502852356
50 ,10970.848516765802,10480.767433549776,10273.066852000125,10378.534473275935,11144.732363052286
51 ,10972.925571185637,10488.8730687589,10247.190489068653,10355.423335446167,11127.218787987451
52 ,11018.610471618216,10456.95342099453,10268.103410982385,10374.03037878096,11093.141528730226
53 ,11019.043903769134,10494.573978379482,10202.980538024058,10517.721299609733,11067.587294500892
54 ,11003.975498542239,10472.850831375836,10200.178268054568,10370.13366115037,11058.628784827282
55 ,11010.488469564058,10435.768643022044,10210.084587768451,10464.977776214855,11029.862147831607
56 ,11034.09677889314,10523.31860144255,10231.507207275168,10388.317228433802,11001.478442052967
57 ,11053.526172514743,10447.691871523268,10207.077443256143,10369.469361546207,10976.310224703831
58 ,11041.93216085151,10468.923473664872,10242.514973732461,10342.00444339446,10958.070275824079
59 ,11137.705259543525,10479.559633700004,10188.461063531,10369.324136253817,10931.580908991953
60 ,11029.963580262034,10394.413543894027,10305.864535518658,10286.207186428246,10957.155997247635
61 ,11030.172057566197,10420.963769322168,10160.225085112155,10246.74458710472,10874.83620306562
62 ,11071.203301782822,10481.898949152182,10149.55711352545,10389.726697638589,10868.088733813322
